rank,lemma,frequency,cumulative_pct,pos,num_surface_forms,example_surface_form
1,bir,5707760,3.281,Noun,1,bir
2,olmak,4246435,5.722,Verb,1,olduğunu
3,bu,4233555,8.156,Pron,2,bu
4,ben,3668805,10.265,Verb,2,ben
5,o,3185662,12.096,Verb,1,o
6,ne,3151942,13.908,Pron,1,ne
7,sen,2423901,15.302,Noun,2,sen
8,ve,2181344,16.556,Conj,1,ve
9,mi,2137198,17.784,Ques,1,mi
10,yapmak,1895179,18.874,Verb,1,yapıyorsun
11,iç,1826982,19.924,Noun,1,için
12,etmek,1750154,20.93,Verb,1,et
13,şey,1610926,21.856,Noun,2,şey
14,de,1505304,22.721,Noun,1,de
15,var,1455332,23.558,Noun,1,var
16,değil,1428897,24.379,Verb,1,değil
17,çok,1383924,25.175,Adj,1,çok
18,istemek,1351747,25.952,Verb,1,istiyorum
19,mı,1324948,26.714,Ques,1,mı
20,ama,1320439,27.473,Conj,1,ama
21,bilmek,1257181,28.195,Verb,1,biliyorum
22,evet,1220531,28.897,Adv,1,evet
23,gitmek,1213977,29.595,Verb,1,git
24,gelmek,1189888,30.279,Verb,1,gel
25,iyi,1181071,30.958,Verb,1,iyi
26,da,1125521,31.605,Conj,1,da
27,bura,1090331,32.232,Verb,1,burada
28,söylemek,1069760,32.847,Verb,1,söyle
29,sanmak,959700,33.398,Verb,1,sana
30,hayır,956483,33.948,Adv,1,hayır
31,daha,925615,34.48,Noun,1,daha
32,yok,893402,34.994,Verb,1,yok
33,mu,847799,35.481,Ques,1,mu
34,demek,811339,35.948,Verb,1,demek
35,vermek,798769,36.407,Verb,1,ver
36,kadar,773917,36.852,Noun,1,kadar
37,zaman,751354,37.284,Noun,1,zaman
38,gibi,742779,37.711,Verb,1,gibi
39,görmek,726132,38.128,Verb,1,görmek
40,biz,692405,38.526,Pron,1,biz
41,tamam,690832,38.923,Noun,1,tamam
42,bakmak,643364,39.293,Verb,1,bak
43,iş,633744,39.657,Noun,2,iş
44,siz,625586,40.017,Pron,1,siz
45,her,620612,40.374,Det,1,her
46,ki,556397,40.694,Conj,1,ki
47,almak,544863,41.007,Verb,1,almak
48,kendi,537555,41.316,Pron,1,kendi
49,şu,532182,41.622,Pron,1,şu
50,nasıl,523608,41.923,Verb,1,nasıl
51,sade,514887,42.219,Adv,1,sadece
52,ya,513901,42.514,Interj,1,ya
53,öyle,497571,42.8,Verb,1,öyle
54,sonra,483566,43.078,Noun,1,sonra
55,kalmak,470963,43.349,Verb,1,kal
56,gerçek,458631,43.613,Noun,1,gerçekten
57,şimdi,447869,43.87,Noun,1,şimdi
58,hiç,441374,44.124,Noun,1,hiç
59,bulmak,438117,44.376,Verb,1,buldum
60,yemek,438066,44.627,Verb,1,yer
61,çalışmak,421604,44.87,Verb,1,çalışıyorum
62,en,414609,45.108,Noun,1,en
63,çocuk,408373,45.343,Noun,1,çocuk
64,konuşmak,406649,45.577,Verb,1,konuşmak
65,önce,400487,45.807,Noun,1,önce
66,güzel,395091,46.034,Noun,1,güzel
67,düşünmek,394727,46.261,Verb,1,düşünüyorsun
68,baba,391768,46.486,Noun,1,baba
69,olur,391596,46.711,Verb,1,olur
70,kim,389809,46.935,Pron,1,kim
71,iki,386022,47.157,Noun,1,iki
72,pek,385637,47.379,Noun,1,peki
73,ev,380423,47.598,Noun,1,eve
74,ora,362915,47.806,Verb,1,orada
75,böyle,360885,48.014,Verb,1,böyle
76,çıkmak,360361,48.221,Verb,1,çıktı
